,Date,total_entry,total_exit,total_profit,p,lots,p&l,slippage,final_profit,Day,final_equity,output
278,2018-11-21 00:00:00,164.9,158.843754,6.056245988,82.45,10,1514.061497,1618.71877,-104.6572731,Wed,998172.7512,Loss
279,2018-11-22 00:00:00,55.45,88.06990751,-32.61990751,27.725,10,-8154.976878,717.5995376,-8872.576415,Thu,989300.1748,Loss
280,2018-11-27 00:00:00,204.35,255.4813877,-51.1313877,102.175,9,-11504.56223,2069.241245,-13573.80348,Tue,975726.3713,Loss
281,2018-11-28 00:00:00,144.05,104.7,39.35,72.025,10,9837.5,1243.75,8593.75,Wed,984320.1213,Win
282,2018-11-29 00:00:00,55.15,79.71411379,-24.56411379,27.575,10,-6141.028448,674.320569,-6815.349017,Thu,977504.7723,Loss
283,2018-12-04 00:00:00,266.55,225.9,40.65,133.275,7,7113.75,1723.575,5390.175,Tue,982894.9473,Win
284,2018-12-05 00:00:00,183.05,131,52.05,91.525,10,13012.5,1570.25,11442.25,Wed,994337.1973,Win
285,2018-12-06 00:00:00,71.85,89.46657897,-17.61657897,35.925,10,-4404.144742,806.5828948,-5210.727637,Thu,989126.4697,Loss
286,2018-12-11 00:00:00,405.6,302.7801473,102.8198527,202.8,4,10281.98527,1416.760295,8865.224976,Tue,997991.6946,Win
287,2018-12-12 00:00:00,155.8,148.0680017,7.731998312,77.9,10,1932.999578,1519.340008,413.6595696,Wed,998405.3542,Win
288,2018-12-13 00:00:00,71.9,41.85,30.05,35.95,10,7512.5,568.75,6943.75,Thu,1005349.104,Win
289,2018-12-18 00:00:00,206.1,224.2319773,-18.1319773,103.05,9,-4079.694893,1936.493898,-6016.18879,Tue,999332.9154,Loss
290,2018-12-19 00:00:00,157.5,213.1468912,-55.64689119,78.75,10,-13911.7228,1853.234456,-15764.95725,Wed,983567.9582,Loss
291,2018-12-20 00:00:00,74.3,29.2,45.1,37.15,10,11275,517.5,10757.5,Thu,994325.4582,Win
292,2018-12-26 00:00:00,172.95,182.4761833,-9.526183298,86.475,10,-2381.545824,1777.130916,-4158.676741,Wed,990166.7814,Loss
293,2018-12-27 00:00:00,84.2,20.1,64.1,42.1,10,16025,521.5,15503.5,Thu,1005670.281,Win
294,2019-01-01 00:00:00,210.55,188.1292828,22.42071724,105.275,9,5044.661379,1794.056772,3250.604607,Tue,1008920.886,Win
295,2019-01-02 00:00:00,161.35,162.4694925,-1.119492526,80.675,10,-279.8731315,1619.097463,-1898.970594,Wed,1007021.915,Loss
296,2019-01-03 00:00:00,82.5,16.7,65.8,41.25,10,16450,496,15954,Thu,1022975.915,Win
297,2019-01-08 00:00:00,219.75,231.1374628,-11.38746282,109.875,9,-2562.179134,2028.993583,-4591.172717,Tue,1018384.743,Loss
298,2019-01-09 00:00:00,154.05,213.5586032,-59.50860316,77.025,10,-14877.15079,1838.043016,-16715.19381,Wed,1001669.549,Loss
299,2019-01-10 00:00:00,67.45,42.4,25.05,33.725,10,6262.5,549.25,5713.25,Thu,1007382.799,Win
300,2019-01-15 00:00:00,193.1,176.4,16.7,96.55,10,4175,1847.5,2327.5,Tue,1009710.299,Win
301,2019-01-16 00:00:00,131.35,102.25,29.1,65.675,10,7275,1168,6107,Wed,1015817.299,Win
